Wall time,Step,Value
1553020577.9663773,5182,-0.3793907165527344
1553020589.3318372,5200,-0.49591079354286194
1553020594.4960213,5208,-0.4180384874343872
1553020614.2011015,5239,-0.5099741220474243
1553020646.149937,5289,-0.2938804030418396
1553020664.7830374,5318,-0.31089484691619873
1553020671.7767432,5329,-0.4373999834060669
1553020681.9501898,5345,-0.38829877972602844
1553020690.9271939,5359,-0.3657374382019043
1553020704.3361206,5380,-0.6106952428817749
1553020729.8777297,5420,-0.36727216839790344
1553020744.0596616,5442,-0.4654272794723511
1553020747.2309,5447,-0.4642205834388733
1553020770.78471,5484,-0.4627857506275177
1553020777.760082,5495,-0.3705955445766449
1553020790.5227616,5515,-0.4800490140914917
1553020791.8740084,5517,-0.4525231122970581
1553020812.199959,5549,-0.33909109234809875
1553020827.509973,5573,-0.3260882794857025
1553020835.095551,5585,-0.4341042935848236
1553020836.4547858,5587,-0.41076672077178955
1553020840.2804513,5593,-0.4418439269065857
1553020863.8029578,5630,-0.4153091609477997
1553020882.6787426,5658,-0.4520843029022217
1553020883.9108617,5660,-0.42259982228279114
1553020886.60232,5664,-0.338946133852005
1553020896.5783718,5679,-0.2866627275943756
1553020923.5479803,5720,-0.4451392590999603
1553020925.5613544,5723,-0.38890814781188965
1553020959.6010687,5776,-0.375662237405777
1553020961.4427426,5779,-0.5620540380477905
1553020967.8760252,5789,-0.41707316040992737
1553020979.421036,5807,-0.4571813941001892
1553020980.0405996,5808,-0.4995417296886444
1553020990.922148,5825,-0.3329710066318512
1553020992.89893,5828,-0.47084224224090576
1553021014.6240823,5862,-0.4601482152938843
1553021015.8377047,5864,-0.5577148795127869
1553021020.417087,5871,-0.2816876173019409
1553021043.4471946,5907,-0.3871597647666931
1553021056.867454,5928,-0.5089297890663147
1553021072.2332997,5952,-0.37276434898376465
1553021075.4111876,5957,-0.4383496642112732
1553021079.2412171,5963,-0.39157143235206604
1553021096.5006363,5990,-0.4199609160423279
1553021109.3175106,6010,-0.4387914836406708
1553021112.527031,6015,-0.46426814794540405
1553021122.088941,6030,-0.4595663845539093
1553021125.35691,6035,-0.4703766107559204
1553021152.9011734,6078,-0.4227527379989624
